_id,title,text,query
<dbpedia:Ian_Botham>,Ian Botham,"Sir Ian Terence Botham, OBE (born 24 November 1955) is a former England Test cricketer and Test team captain, and current cricket commentator. He was a genuine all-rounder with 14 centuries and 383 wickets in Test cricket, and remains well known by his nickname \Beefy\"".""",who is ian botham
<dbpedia:Jazz_guitar>,Jazz guitar,"The term jazz guitar may refer to either a type of guitar or to the variety of guitar playing styles used in the various genres which are commonly termed ""jazz"". The jazz-type guitar was born as a result of using electric amplification to increase the volume of conventional acoustic guitars.Conceived in the early 1930s, the electric guitar became a necessity as jazz musicians sought to amplify their sound to be heard over big bands.",what is the jazz guitar
<dbpedia:Javary_River>,Javary River,"The Javary River, Javari River or Yavarí River (Spanish: Río Yavarí; Portuguese: Rio Javari) is a 1,184 km (736 mi) tributary of the Amazon that forms the boundary between Brazil and Peru for more than 500 mi (800 km). It is navigable by canoe for 900 mi (1,400 km) from above its mouth to its source in the Ucayali highlands, but only 260 were found suitable for steam navigation. The Brazilian Boundary Commission ascended it in 1866 to the junction of the Shino with its Jaquirana branch.",what river is javari located in
<dbpedia:Judit_Polgár>,Judit Polgár,"Judit Polgár (born 23 July 1976) is a Hungarian chess grandmaster. She is generally considered the strongest female chess player in history. In 1991, Polgár achieved the title of Grandmaster at the age of 15 years and 4 months, at the time the youngest to have done so, breaking the record previously held by former World Champion Bobby Fischer. She is the youngest ever player, to date, to break into the FIDE Top 100 players rating list, being ranked No.",youngest female chess player
<dbpedia:Jupiter_Ace>,Jupiter Ace,"The Jupiter Ace was a British home computer of the early 1980s, produced by a company, set up for the purpose, named Jupiter Cantab. The Ace differed from other microcomputers of the time in that it used Forth instead of the more common BASIC.",who makes jupiter computer
<dbpedia:Jewish_holidays>,Jewish holidays,"Jewish holidays, also known as Jewish festivals or Yamim Tovim (ימים טובים, ""Good Days"", or singular יום טוב Yom Tov, in transliterated Hebrew [English /ˈjɔːm ˈtɔːv, joʊm ˈtoʊv/]), are holidays observed by Jews throughout the Jewish year. They are derived from three sources: Biblical mitzvot (""commandments""); rabbinic mandates; and the modern history of Israel.",what are jewish holidays?
<dbpedia:John_Peel>,John Peel,"John Robert Parker Ravenscroft, OBE (30 August 1939 – 25 October 2004), known professionally as John Peel, was an English disc jockey, radio presenter, record producer and journalist. He was the longest serving of the original BBC Radio 1 DJs, broadcasting regularly from 1967 until his death in 2004.",what was john peel
<dbpedia:Joseph_Haydn>,Joseph Haydn,"(Franz) Joseph Haydn (/ˈdʒoʊzəf ˈhaɪdən/; German: [ˈjoːzɛf ˈhaɪdən]; 31 March 1732 – 31 May 1809) was a prominent and prolific Austrian composer of the Classical period. He was instrumental in the development of chamber music such as the piano trio and his contributions to musical form have earned him the epithets ""Father of the Symphony"" and ""Father of the String Quartet"".Haydn spent much of his career as a court musician for the wealthy Esterházy family at their remote estate.",who was joseph haydn
<dbpedia:Jock_Taylor>,Jock Taylor,"Jock Taylor (March 9, 1954 – August 15, 1982) was a Scottish World Champion motorcycle sidecar racer.John Robert (Jock) Taylor was born in Pencaitland, East Lothian, and entered his first sidecar race at the age of 19, as the passenger to Kenny Andrews (1974). The following year he took part in his first race as a driver. Taylor died in Finland as a consequence of a racing incident in 1982.",who is jock taylor
<dbpedia:July_21>,July 21,July 21 is the 202nd day of the year (203rd in leap years) in the Gregorian calendar. There are 163 days remaining until the end of the year.,what day is the end of july
<dbpedia:John_von_Neumann>,John von Neumann,"John von Neumann (Hungarian: Neumann János, /vɒn ˈnɔɪmən/; December 28, 1903 – February 8, 1957) was a Hungarian-American pure and applied mathematician, physicist, inventor, polymath, and polyglot.",when was john neumann born
<dbpedia:J._R._R._Tolkien>,J. R. R. Tolkien,"John Ronald Reuel Tolkien CBE FRSL (/ˈtɒlkiːn/; 3 January 1892 – 2 September 1973) was an English writer, poet, philologist, and university professor who is best known as the author of the classic high-fantasy works The Hobbit, The Lord of the Rings, and The Silmarillion.He served as the Rawlinson and Bosworth Professor of Anglo-Saxon and Fellow of Pembroke College, Oxford, from 1925 to 1945 and Merton Professor of English Language and Literature and Fellow of Merton College, Oxford from 1945 to 1959.",what books did tolkien write
<dbpedia:July_23>,July 23,July 23 is the 204th day of the year (205th in leap years) in the Gregorian calendar. There are 161 days remaining until the end of the year.,how many days until the end of the year are there
<dbpedia:John_Calvin>,John Calvin,"John Calvin (/ˈkælvɪn/; French: Jean Calvin, pronounced: [ʒɑ̃ kalvɛ̃]; born Jehan Cauvin: 10 July 1509 – 27 May 1564) was an influential French theologian and pastor during the Protestant Reformation. He was a principal figure in the development of the system of Christian theology later called Calvinism, aspects of which include the doctrine of predestination and the absolute sovereignty of God in salvation of the human soul from death and eternal damnation.",who is john calvin?
<dbpedia:John_Irving>,John Irving,"John Winslow Irving (born John Wallace Blunt, Jr. on March 2, 1942), is an American novelist and Academy Award-winning screenwriter.Irving achieved critical and popular acclaim after the international success of The World According to Garp in 1978. Some of Irving's novels, such as The Cider House Rules (1985), A Prayer for Owen Meany (1989), and A Widow for One Year (1998), have been bestsellers. Five of his novels have been adapted to film.",john irving what years was he born
<dbpedia:Justus_von_Liebig>,Justus von Liebig,"Justus Freiherr von Liebig (12 May 1803 – 18 April 1873) was a German chemist who made major contributions to agricultural and biological chemistry, and was considered the founder of organic chemistry. As a professor at the University of Giessen, he devised the modern laboratory-oriented teaching method, and for such innovations, he is regarded one of the greatest chemistry teachers of all time.",who invented the modern laboratory method
<dbpedia:John_Stuart_Mill>,John Stuart Mill,"John Stuart Mill (20 May 1806 – 8 May 1873) was a British philosopher, political economist and civil servant. He was an influential contributor to social theory, political theory and political economy. He has been called ""the most influential English-speaking philosopher of the nineteenth century"".",who is john stuart mill?
<dbpedia:Johann_Bayer>,Johann Bayer,"Johann Bayer (1572 – 7 March 1625) was a German lawyer and uranographer (celestial cartographer). He was born in Rain, Lower Bavaria, in 1572. At twenty, in 1592 he began his study of philosophy and law at the University of Ingolstadt, after which he moved to Augsburg to begin work as a lawyer, becoming legal adviser to the city council in 1612.Bayer had several interests outside his work, including archaeology and mathematics.",where did johann bayer come from
<dbpedia:January_14>,January 14,"January 14 is the 14th day of the year in the Gregorian calendar. There are 351 days remaining until the end of the year (352 in leap years).In the 20th and 21st centuries the Julian calendar is 13 days behind the Gregorian calendar, thus January 14 is sometimes celebrated as New Year's Day (Old New Year) by religious groups who use the Julian calendar.",what days does january 14
<dbpedia:January_13>,January 13,January 13 is the 13th day of the year in the Gregorian calendar. There are 352 days remaining until the end of the year (353 in leap years).It is sometimes celebrated as New Year's Eve (at least in the 20th & 21st centuries) by ethnic groups and religious orders still using the thirteen-days-adrift Julian calendar (Old New Year).,how many days until the end of the year
<dbpedia:Johann_Tobias_Krebs>,Johann Tobias Krebs,Johann Tobias Krebs (7 July 1690 – 11 February 1762) was a German organist and composer.Krebs was born in Heichelheim and died in Buttstädt. He is known as a student of Johann Gottfried Walther and Johann Sebastian Bach.He is believed to be the composer of the Eight Short Preludes and Fugues previously attributed to J.S. Bach.,who is tobias krebs
<dbpedia:Jane_Shore>,Jane Shore,"Elizabeth ""Jane"" Shore (nee Lambert) (c.1445 – c.1527) was one of the many mistresses of King Edward IV of England, one of three whom he described as ""the merriest, the wiliest, and the holiest harlots"" in his realm. She also became a concubine to other noblemen, including Edward's stepson, Thomas Grey, 1st Marquess of Dorset, and William Hastings, 1st Baron Hastings, his close friend and adviser.",what was jane shore's name
<dbpedia:Josephus_on_Jesus>,Josephus on Jesus,The extant manuscripts of the writings of the 1st-century Romano-Jewish historian Flavius Josephus include references to Jesus and the origins of Christianity.,who wrote about jesus
<dbpedia:John_Lennon>,John Lennon,"John Winston Ono Lennon MBE (born John Winston Lennon; 9 October 1940 – 8 December 1980) was an English singer and songwriter who rose to worldwide fame as a co-founder  of the band the Beatles, the most commercially successful band in the history of popular music.",who was the founder of beatles
<dbpedia:January_18>,January 18,January 18 is the 18th day of the year in the Gregorian calendar. There are 347 days remaining until the end of the year (348 in leap years).,what is the 18th day in january?
<dbpedia:James_Thurber>,James Thurber,"James Grover Thurber (December 8, 1894 – November 2, 1961) was an American cartoonist, author, journalist, playwright, and celebrated wit. Thurber was best known for his cartoons and short stories, published mainly in The New Yorker magazine and collected in his numerous books. One of the most popular humorists of his time, Thurber celebrated the comic frustrations and eccentricities of ordinary people.",who was the most popular american writer
<dbpedia:Jutes>,Jutes,"The Jutes, Iuti, or Iutæ (/dʒuːts/) were a Germanic people. According to Bede, the Jutes were one of the three most powerful Germanic peoples of their time, the other two being the Saxons and the Angles.The Jutes are believed to have originated from the Jutland Peninsula (called Iutum in Latin) and part of the North Frisian coast. In present times the Jutlandic Peninsula consists of the mainland of Denmark and Southern Schleswig in Germany.",what are jutes
<dbpedia:Jean-Jacques_Rousseau>,Jean-Jacques Rousseau,"Jean-Jacques Rousseau (/ruːˈsoʊ/; French: [ʒɑ̃ʒak ʁuso]; 28 June 1712 – 2 July 1778) was a philosopher, writer, and composer of the 18th century. His political philosophy influenced the Enlightenment in France and across Europe, as well as aspects of the French Revolution and the overall development of modern political and educational thought.Rousseau's novel Emile, or On Education is a treatise on the education of the whole person for citizenship.",what was jean-jacques rousseau major achievements
<dbpedia:John_Martyn>,John Martyn,"John Martyn, OBE (11 September 1948 – 29 January 2009), born as  Iain David McGeachy, was a British singer-songwriter and guitarist. Over a 40-year career, he released 21 studio albums, working with artists such as Eric Clapton, David Gilmour and Phil Collins. He was described by The Times as ""an electrifying guitarist and singer whose music blurred the boundaries between folk, jazz, rock and blues"".",who is john martyn?
<dbpedia:Joseph_Stalin>,Joseph Stalin,"Joseph Stalin (birth surname: Jughashvili; 18 December 1878 – 5 March 1953) was the leader of the Soviet Union from the mid-1920s until his death in 1953. Holding the post of the General secretary of the Central Committee of the Communist Party of the Soviet Union, he was effectively the dictator of the state.Stalin was one of the seven members of the first Politburo, founded in 1917 in order to manage the Bolshevik Revolution, alongside Lenin, Zinoviev, Kamenev, Trotsky, Sokolnikov and Bubnov.",where did stalin start from
<dbpedia:Joe_Pass>,Joe Pass,"Joe Pass (born Joseph Anthony Jacobi Passalacqua, January 13, 1929 – May 23, 1994) was an American virtuoso jazz guitarist of Sicilian descent. He is generally considered to be one of the greatest jazz guitarists of the 20th century.",who is joe pass
<dbpedia:Jumping_the_broom>,Jumping the broom,Jumping the broom is a phrase and custom relating to a wedding ceremony where the couple jumps over a broom.,what is the saying for jumping the broom
